country_name,life_expectancy,ncd_share,communicable_share
Chad,52.997,0.2559745295494938,0.6637745125147938
Lesotho,53.036,0.37062898755723356,0.5237809594766873
Nigeria,53.633,0.33769705522591426,0.5834998520908138
Central African Republic,54.477,0.23975434223548206,0.6665925849844472
South Sudan,55.567,0.338484797770884,0.5171276987593567
"Somalia, Fed. Rep.",56.107,0.23173524513445326,0.6495040120847113
Eswatini,56.36,0.3478149744000779,0.5202186639736411
Namibia,58.059,0.40760522226597606,0.428014360573201
Côte d'Ivoire,58.916,0.35487358494456905,0.5469910191242062
Guinea,58.985,0.3769945899577536,0.5378188858697848
