iso3,country_name,who_region,wb_income,year,actual_resource_index,theoretical_need_index,gap,gap_grade,gap_grade_en,population,gap_abs_millions
IND,India,SEARO,LMC,2023,-0.8293666535118719,0.16960717066204498,-0.9989738241739169,D_不足,D_shortage,1438069596.0,-1436.5938837443598
NGA,Nigeria,AFRO,LMC,2023,-0.7442266424082711,2.6021648634054055,-3.346391505813677,E_严重不足,E_critical_shortage,227882945.0,-762.5855514678053
PAK,Pakistan,EMRO,LMC,2023,-0.8678000403198309,0.8259739654065493,-1.6937740057263801,E_严重不足,E_critical_shortage,247504495.0,-419.21667993143484
COD,"Congo, Democratic Republic of",AFRO,LIC,2023,-0.8223741067518109,1.6423568006458389,-2.4647309073976498,E_严重不足,E_critical_shortage,105789731.0,-260.7432196809833
ETH,Ethiopia,AFRO,,2023,-0.9932494558012742,0.7949887336336293,-1.7882381894349035,E_严重不足,E_critical_shortage,128691692.0,-230.13139829739424
IDN,Indonesia,WPRO,UMC,2023,-0.7184100773022659,0.0986310703336214,-0.8170411476358873,D_不足,D_shortage,281190067.0,-229.74385504549204
BGD,Bangladesh,SEARO,LMC,2023,-0.9233668525591894,-0.12005126631354268,-0.8033155862456467,D_不足,D_shortage,171466990.0,-137.74210559362643
TZA,Tanzania,AFRO,LMC,2023,-0.946713646243528,0.9306363648516757,-1.8773500110952037,E_严重不足,E_critical_shortage,66617606.0,-125.0645633632359
KEN,Kenya,AFRO,LMC,2023,-0.7848760839976281,1.321687515482185,-2.106563599479813,E_严重不足,E_critical_shortage,55339003.0,-116.57512935130416
UGA,Uganda,AFRO,LIC,2023,-0.7666089562269429,0.9730573606668466,-1.7396663168937896,E_严重不足,E_critical_shortage,48656601.0,-84.64624985424068
CIV,Côte d'Ivoire,AFRO,LMC,2023,-0.8791879918881665,1.8065334345308106,-2.685721426418977,E_严重不足,E_critical_shortage,31165654.0,-83.7022647161603
AGO,Angola,AFRO,LMC,2023,-0.939279621708484,1.3242274679575043,-2.263507089665988,E_严重不足,E_critical_shortage,36749906.0,-83.18367277555865
SDN,Sudan,AFRO,LIC,2023,-0.8147431246020528,0.6635716542737646,-1.4783147788758173,E_严重不足,E_critical_shortage,50042791.0,-73.97899751149374
NER,Niger,AFRO,LIC,2023,-0.9294361041818352,1.8686856700862464,-2.7981217742680817,E_严重不足,E_critical_shortage,26159867.0,-73.19849346465703
MOZ,Mozambique,AFRO,LIC,2023,-0.5051159102316618,1.6139993904728767,-2.1191153007045385,E_严重不足,E_critical_shortage,33635160.0,-71.27678219764526
