iso3,country_name,who_region,wb_income,year,actual_resource_index,theoretical_need_index,gap,gap_grade,gap_grade_en,population
TCD,Chad,AFRO,LIC,2023,-0.8570408787348716,2.588384200473746,-3.4454250792086176,E_严重不足,E_critical_shortage,19319064.0
NGA,Nigeria,AFRO,LMC,2023,-0.7442266424082711,2.6021648634054055,-3.346391505813677,E_严重不足,E_critical_shortage,227882945.0
SOM,"Somalia, Fed. Rep.",AFRO,LIC,2023,-0.957356861886041,2.281244076574247,-3.238600938460288,E_严重不足,E_critical_shortage,18358615.0
CAF,Central African Republic,AFRO,LIC,2023,-0.43634970715405025,2.6744500227468984,-3.1107997299009487,E_严重不足,E_critical_shortage,5152421.0
SSD,South Sudan,AFRO,LIC,2023,-0.6776863584899044,2.1753558405125166,-2.853042199002421,E_严重不足,E_critical_shortage,11483374.0
NER,Niger,AFRO,LIC,2023,-0.9294361041818352,1.8686856700862464,-2.7981217742680817,E_严重不足,E_critical_shortage,26159867.0
MLI,Mali,AFRO,LIC,2023,-0.9015849355689965,1.8712581230770493,-2.7728430586460457,E_严重不足,E_critical_shortage,23769127.0
GIN,Guinea,AFRO,LMC,2023,-0.8540911584378129,1.8907920180749753,-2.744883176512788,E_严重不足,E_critical_shortage,14405468.0
BEN,Benin,AFRO,LMC,2023,-0.9934122785998172,1.7462514196119576,-2.739663698211775,E_严重不足,E_critical_shortage,14111034.0
CIV,Côte d'Ivoire,AFRO,LMC,2023,-0.8791879918881665,1.8065334345308106,-2.685721426418977,E_严重不足,E_critical_shortage,31165654.0
SLE,Sierra Leone,AFRO,LIC,2023,-0.5926019456687253,1.8976483885097204,-2.4902503341784454,E_严重不足,E_critical_shortage,8460512.0
LSO,Lesotho,AFRO,LMC,2023,0.0024002145678188314,2.4800460325940232,-2.4776458180262044,E_严重不足,E_critical_shortage,2311472.0
COD,"Congo, Democratic Republic of",AFRO,LIC,2023,-0.8223741067518109,1.6423568006458389,-2.4647309073976498,E_严重不足,E_critical_shortage,105789731.0
GNQ,Equatorial Guinea,AFRO,UMC,2023,-0.9180595820500312,1.5010220002639023,-2.4190815823139333,E_严重不足,E_critical_shortage,1847549.0
ZWE,Zimbabwe,AFRO,LMC,2023,-0.7977273098694454,1.6197743797256265,-2.417501689595072,E_严重不足,E_critical_shortage,16340822.0
